Question,Class
What American won the world Grand Prix driving championship in 1978 ?,HUM
Name a female figure skater .,HUM
Who portrayed Carl Bernstein in All the President's Men ?,HUM
Who was Tiny Tim's father ?,HUM
Who was Bonnie Blue Butler's father ?,HUM
Who is the Antichrist ?,HUM
Who was the lawyer who represented Randy Steven Craft ?,HUM
Which of the following celebrities was not born in Philadelphia ?,HUM
Who wrote the Farmer's Almanac ?,HUM
Which team won the Super Bowl in 1968 ?,HUM
CNN is owned by whom ?,HUM
Who was the 15th century fire-and-brimstone monk who gained control of Florence but ended burnt at the stake ?,HUM
Who was Quetzalcoatl ?,HUM
What French leader sold Louisiana to the United States ?,HUM
Who is the prime minister of Japan ?,HUM
What player squats an average of 3 times during a baseball doubleheader ?,HUM
What's the most common name in nursery rhymes ?,HUM
Name the Ranger who was always after Yogi Bear .,HUM
Who is the president of the Spanish government ?,HUM
Who holds the career record for the most major league home runs ?,HUM
Which of the following actors worked in New York's Yiddish Theater ?,HUM
Who invented the stethoscope ?,HUM
What comedian hit the TV screen in 1951 with the NBC afternoon show Time for Ernie ?,HUM
What are Arnold Palmer's fans called ?,HUM
Who retired with 755 home runs to his credit ?,HUM
Who developed potlatch ?,HUM
Name the two actress daughters of John Mills .,HUM
Who is the actress Bette Davis once said she wished she looked like ?,HUM
Who portrayed The Cowardly Lion in The Wizard of Oz ?,HUM
Who was the first king of England ?,HUM
Who killed Kurt Cobain ?,HUM
Who created the monster in Mary Shelley's novel Frankenstein ?,HUM
What son of a 15-year-old Mexican girl and a half-Irish father became the world's most famous Greek ?,HUM
Who was the first man to return to space ?,HUM
Who gave Abbie Hoffman his first dose of LSD ?,HUM
What did the Seven Dwarfs do for a living ?,HUM
What 4-foot-9 actress in 1984 became the first performer to win an Oscar for playing a character of the opposite sex ?,HUM
Who shot Billy the Kid ?,HUM
What Mormon leader was said to have had 27 wives ?,HUM
With whom did Bush compare Saddam Hussein ?,HUM
What pillar of the Dutch Renaissance painted Aristotle Contemplating the Bust of Homer ?,HUM
What is the name of the brilliant British economist behind its creation ?,HUM
Who played Sally Rogers on The Dick Van Dyke Show ?,HUM
What mythical figure carries an hourglass and a scythe ?,HUM
What presidential administration challenged Americans to explore The New Frontier ?,HUM
What famous British actor lost his voice after an operation in 1966 ?,HUM
What company makes impulse hardening equipment ?,HUM
What is Rona Barrett's married name ?,HUM
Who is the mathematician that won the Noble Prize for Literature in 1950 ?,HUM
Which glamorous actress is a close friend of Dick Tracy ?,HUM
Name the three races unleashed by the Celestials in Marvel comics .,HUM
What writer-journalist made his mark describing colorful Broadway and underworld characters ?,HUM
What are the residents of the island of Lesbos called ?,HUM
What baseball great plugged Mr. Coffee ?,HUM
Who's baby was Sweet Pea on the Popeye cartoon ?,HUM
What apostle is Taylor Caldwell's Great Lion of God ?,HUM
What company sells the most greeting cards ?,HUM
What's comic strip photographer Peter Parker's secret identity ?,HUM
Which Rockefeller was sometimes called '' JDR3 '' ?,HUM
Whom did Friz Freleng add to the Warner Bros. cartoon ranks ?,HUM
Who was Shakespeare's Moorish general ?,HUM
Who taught Matt Murdock to use his extraordinary abilities in Marvel comics ?,HUM
What famous film and TV cowboy lent his name to a fast food chain ?,HUM
Who famously rode to warn the people of Massachusetts that the British were coming ?,HUM
Who commanded the French forces at the Battle of Orleans ?,HUM
Who led the opposition when Konrad Adenauer was Chancellor in Germany ?,HUM
Who turned all he touched to gold ?,HUM
Who plays shortstop for Charlie Brown's baseball team ?,HUM
Who was the most famous food editor of The New York Times ?,HUM
Who was the last U.S. president to reinstate Selective Service registration ?,HUM
What was the name of the lawyer who represented Randy Steven Craft ?,HUM
What actress's autobiography is titled Shelley : Also Known as Shirley ?,HUM
Who lived on the shores of the Gitchee Gumee River ?,HUM
Who is section manager for guidance and control systems at JPL ?,HUM
What is Goldfinger's first name ?,HUM
Which of the following famous people does not paint as a hobby ?,HUM
Who should I call to get a tour of the New York Stock Exchange ?,HUM
What was the name of the director of the movie '' Jaws '' ?,HUM
Who portrayed W.C. Fields in the film W.C. Fields and Me ?,HUM
Which college did Dikembe Mutombo play basketball at ?,HUM
Who built the first successful stern wheel steamboat ?,HUM
Who was Hitler's minister of propaganda ?,HUM
Who was the first doctor to successfully transplant a liver ?,HUM
Who was the lawyer for Randy Steven Craft ?,HUM
Who is reputed to be the greatest maker of violins ?,HUM
What future Soviet dictator was training to be a priest when he got turned on to Marxism ?,HUM
Who sued the Dannon yougurt company for using a character named Ron Raider for promotion ?,HUM
Who was the first jockey to ride two Triple Crown winners ?,HUM
Who wrote Brave New World ?,HUM
Who wrote Unsafe at Any Speed ?,HUM
What British commander surrendered to George Washington at Yorktown in 1781 ?,HUM
What is the name of the president of Garmat U.S.A ?,HUM
Who were leaders of the Byzantine empire ?,HUM
Who was the first President to appoint a woman to head a cabinet ?,HUM
Who built the first pyramid ?,HUM
Name a French fascist party .,HUM
What famous meat company went out of business because it became known that the underworld had been selling them kangaroo meat ?,HUM
What is the present Pope named ?,HUM
Who is the nebbish that is Marvel's official mascot ?,HUM
Who sang the song '' Hooked on a Feeling '' in the dancing baby episode of '' Ally Mcbeal '' ?,HUM
Who was Damocles ?,HUM
Name Dondi's adoptive grandfather .,HUM
Whose biography by Maurice Zolotow is titled Shooting Star ?,HUM
In the movie Groundshog Day what is the name of the character played by Andie MacDowell ?,HUM
What are the top ten all-time money making NFL teams ?,HUM
Who was the first American citizen awarded the Albert Medal of the Society of Arts ?,HUM
What doctor is synonymous with footwear and foot care ?,HUM
Who founded the Unification Church ?,HUM
What are the only players eligible to score points in Roller Derby called ?,HUM
What ill-fated American general dragged a bull terrier named Willie through World War II ?,HUM
Who invented the lawnmower ?,HUM
What U.S. senator once played basketball for the New York Knicks ?,HUM
What is Li 'l Abner's last name ?,HUM
Who shared a New York City apartment with Roger Maris the year he hit 61 home runs ?,HUM
Who is the director of intergovernmental affairs for the San Diego county ?,HUM
What Hall of Fame pitcher started three World Series Games for the New York Yankees in 1962 ?,HUM
What political party is Sinn Fein a part of ?,HUM
What is the name of a Greek god ?,HUM
What was the man's name who was killed in a duel with Aaron Burr ?,HUM
Who directed the first Woody Woodpecker cartoon ?,HUM
Name of heroine in '' Scruples '' ?,HUM
What TV character sired a horse named Thunder ?,HUM
What baseball player was known as Charley Hustle ?,HUM
Who killed Lee Harvey Oswald ?,HUM
Who was Red Grange ?,HUM
What hockey team did Wayne Gretzky play for ?,HUM
What Ivy League school plays its home games at Palmer Stadium ?,HUM
Who invented the fax machine ?,HUM
Who wrote the poem that starts '' I love your lips when they 're wet with wine and red with a warm desire '' ?,HUM
What singer's theme song was When the Moon Comes over the Mountain ?,HUM
Who was Santos-Dumont ?,HUM
Who is Rocky's and Bullwinkle's ever-lost friend ?,HUM
Who is Robin Williams ?,HUM
Who thought he 'd never see a poem lovely as a tree ?,HUM
Who created '' The Muppets '' ?,HUM
What was the Ventura County police department that seized the county's largest amount of cocaine ever ?,HUM
Name one of the major gods of Hinduism .,HUM
What two US biochemists won the Nobel Prize in medicine in 1992 ?,HUM
What record company was formed by Herb Alpert and Jerry Moss ?,HUM
What fast-food magnate's initials graced the left sleeve of the San Diego Padres ' baseball uniforms in 1984 ?,HUM
Who else was considered for the role of Luke Skywalker when George Lucas was casting for Star Wars ?,HUM
Who was the king who signed the Magna Carta ?,HUM
Who is the leader of India ?,HUM
Who is the prophet that is most connected to the Dead Sea ?,HUM
Who wrote '' The Pit and the Pendulum '' ?,HUM
What is the best art and design school in the world ?,HUM
Who is the Incredible Hulk in reality ?,HUM
What manufacturers are there in Texas ?,HUM
Who are the presidents of Mexico and Indonesia ?,HUM
Who played Al Jolson in the Jolson Story ?,HUM
What TV detective did Craig Stevens play ?,HUM
What university fired Angela Davis ?,HUM
In the past 8 years who have the MVP players for the NHL been ?,HUM
Who played Emperor Palpatine in Star Wars ?,HUM
Who is King in Alley Oop's home of Moo ?,HUM
What is '' the airline built for professional travelers '' ?,HUM
Who invented the stock ticker in 1870 ?,HUM
Who wrote the Bible ?,HUM
Who is Henry Butler ?,HUM
What college did Dikembe Mutombo play basketball for ?,HUM
Who made the first airplane ?,HUM
What organization is the Security Council a part of ?,HUM
Who was the first black to be head coach of a major league pro sports team ?,HUM
Who is Peter Weir ?,HUM
What robust U.S. President imported his own instructor after seeing a judo match ?,HUM
What government department did The Untouchables work for ?,HUM
What was the player's name who played nose tackle for the Eagles in Super Bowl XV ?,HUM
Who held the endurance record for women pilots in 1929 ?,HUM
What did Andy Hardy's father do for a living ?,HUM
Who are Woody Woodpecker's niece and nephew ?,HUM
Who created Maudie Frickett ?,HUM
Who was the first English circumnavigator of the globe ?,HUM
Who made the largest cocaine seizure in Ventura County history ?,HUM
Who liberated 19th century Sicily and Naples ?,HUM
What actor has a tattoo on his right wrist reading Scotland Forever ?,HUM
Who appointed the chair of the Federal Reserve ?,HUM
Who is Samuel F. Pickering ?,HUM
What English queen had six fingers on one hand ?,HUM
What tennis player has the nickname '' Nasty '' ?,HUM
What non-conformist abstract painter was dubbed Jack The Dripper by Time ?,HUM
Who founded the modern theory of probability ?,HUM
Who's The King of Swing ?,HUM
What bestselling modern poet was the co-founder of the famous City Lights Bookshop in San Francisco ?,HUM
What South Vietnamese president was assassinated by his generals in 1963 ?,HUM
Who won the 1968 California Democratic primary ?,HUM
Who spoke the only word in Mel Brooks's Silent Movie ?,HUM
What was Thatcher's first name ?,HUM
Name the fast food chain with the golden arches .,HUM
Who was the first Russian astronaut to walk in space ?,HUM
Who wrote ' Dubliners ' ?,HUM
Who is Malaysia's 43rd prime minister ?,HUM
Who founded the first aerodynamics laboratory in 1912 ?,HUM
Who said '' Give me liberty or give me death '' ?,HUM
What's Japan's largest car manufacturer ?,HUM
Name of the powerful white trader in Conrad's '' Heart of Darkness '' ?,HUM
Rotary engines were manufactured by which company ?,HUM
Who invented the pull-tab opener on cans ?,HUM
What is the name of the deranged super-criminal Otto Octavius uses ?,HUM
Whose acceptance speech of more than 3 minutes prompted a time limit on Academy Award thank-yous ?,HUM
Name the tree growing company .,HUM
Who declared : '' I think I 'll go out and milk the elk '' ?,HUM
Which former Ku Klux Klan member won an elected office in the U.S. ?,HUM
Who was the actor who played Sam in the movie Casablanca ?,HUM
What task does the Bouvier breed of dog perform ?,HUM
What New Orleans D.A. claimed : '' My staff and I solved the assassination weeks ago '' ?,HUM
Who makes chicken '' finger lickin '' good ?,HUM
What director portrayed the commandant of the POW camp in 1953's Stalag 17 ?,HUM
What are the names of Jacques Cousteau's two sons ?,HUM
Who accompanied Space Ghost on his missions ?,HUM
What World War II leader declared : '' The blow has been struck '' ?,HUM
Who was Israel's first prime minister ?,HUM
What occupation has the highest divorce rate ?,HUM
What California governor said : '' Inaction may be the highest form of action '' ?,HUM
Who is Desmond Tutu ?,HUM
Who was the first person to study the stars ?,HUM
What are the top 10 colleges in the United States in the field of engineering ?,HUM
Who did Doris Day mean when she said : '' I call him Ernie because he's certainly no Rock '' ?,HUM
Who is the owner of CNN ?,HUM
What knighted actor narrates TV's The World at War ?,HUM
What football coach's story was told in the movie Run to Daylight ?,HUM
What businesses in Alaska were affected by the Exxon Valdez oil spill ?,HUM
What was the name of Randy Craft's lawyer ?,HUM
Who markets Spaghetti-o's ?,HUM
Who co-starred with Julie Andrews in Mary Poppins ?,HUM
Who was Ezra Taft Benson ?,HUM
What Argentine boxer was shot dead outside a Nevada brothel in May ?,HUM
What is Jimmy Olsen's full name ?,HUM
Who is Pia Zadora's millionaire husband and mentor ?,HUM
What U.S. President was the first to breed mules ?,HUM
What astronomer-architect designed the present St. Paul's Cathedral in London ?,HUM
What feminist wrote Sexual Politics and Flying ?,HUM
Who was the first American world chess champion ?,HUM
Who was the last woman executed in England ?,HUM
What university football team did O.J. Simpson take to the Rose Bowl ?,HUM
What NFL team did Vince Lombardi end his coaching career with ?,HUM
Who is Prince Naseem Hamed ?,HUM
What title does comedian Henry Youngman claim ?,HUM
Who made the first airplane that could fly ?,HUM
Who was International Olympic Committee chairman at the 1936 Summer Games ?,HUM
What company has built more than 2.5 billion little green houses since 1935 ?,HUM
What appointments secretary to Richard Nixon went to jail ?,HUM
Who released the Internet worm in the late 1980s ?,HUM
What is the name of the American who was captured when his plane went down over Syrian-held Lebanon ?,HUM
What school does Tom attend in Tom Brown's School Days ?,HUM
What American sergeant lost both of his hands in combat during World War II and then went on to act in a single movie for which he won two Oscars ?,HUM
Who invented the fountain ?,HUM
What Batman character tools around on a Batcycle ?,HUM
Who was Sherlock Holmes's archenemy ?,HUM
What's the name of Tom Sawyer's aunt with whom he lives ?,HUM
Which member of the Micronauts spent 1 years traveling the Microverse in the Marvel comics ?,HUM
What doctor claimed in a 1946 book : '' There is no such thing as a bad boy '' ?,HUM
What comedian created a punch-drunk pugilist named Cauliflower McPugg ?,HUM
Who is William Wordsworth ?,HUM
Who is Charles Lindbergh ?,HUM
Who is the prime minister in Norway ?,HUM
What actress starred in '' The Lion in Winter '' ?,HUM
Who won the rugby world cup in ?,HUM
What is Nicholas Cage's profession ?,HUM
Who is the famous sister of actress Olivia De Havilland ?,HUM
Which German president was pressured into appointing Hitler chancellor in 1933 ?,HUM
What businesses or agencies would do an employment verification ?,HUM
What onetime member of Ronald Reagan's cabinet called federal policy toward Indians '' an example of the failure of socialism '' ?,HUM
Who was Darth Vader's son ?,HUM
Who invented the process to make condensed milk ?,HUM
What actor and actress have made the most movies ?,HUM
Who found Hawaii ?,HUM
Who protects DC Comics ' realm of dreams ?,HUM
Who created Harry Lime ?,HUM
Who was President Cleveland's wife ?,HUM
What company named one of its pens '' The Banana '' ?,HUM
Who invented the Moog Synthesizer ?,HUM
Who makes the '' Die Hard '' car battery ?,HUM
What is the name of Dolly Parton's rarely seen husband ?,HUM
Whose old London come-on was : '' Buy my sweet lavender '' ?,HUM
Who wrote the lyrics to Porgy and Bess ?,HUM
What two New York Yankee pitchers swapped wives and families ?,HUM
Name one of King Henry VIII's wives .,HUM
What does Robin Williams do ?,HUM
Who is the French literary charcter who is chiefly famous for his enormous nose ?,HUM
Who killed Martin Luther King ?,HUM
Who owns the rights on a TV program ?,HUM
Who invented Astroturf ?,HUM
What Democratic prankster waved the train out of the station while Richard Nixon spoke from the caboose ?,HUM
What former African leader held his country's boxing title for nine years ?,HUM
What 2th-century American poet wrote a four-volume biography of Abraham Lincoln ?,HUM
What journalist can be found in and around Walden Puddle ?,HUM
What woman pitcher has struck out Ted Williams and Hank Aaron ?,HUM
Who was the first woman in space ?,HUM
What professional sports league originated the college draft ?,HUM
Who discovered imaginary numbers ?,HUM
Who does the voices of the Simpsons ?,HUM
Who was the second man to walk on the moon ?,HUM
What author was appointed U.S. ambassador to Spain in 1842 ?,HUM
Who is Westview High's band director in Funky Winkerbean ?,HUM
What singer's hit song inspired the Dolly Parton Stallone movie Rhinestone ?,HUM
Who is Edmund Kemper ?,HUM
What radio station did Paul Harvey work for ?,HUM
What character narrates Treasure Island ?,HUM
Who starred with Charlie Chaplin in Modern Times and The Great Dictator ?,HUM
What Catch-22 character is elected mayor of half a dozen Italian cities ?,HUM
What team did Babe Ruth play his first major league game for ?,HUM
What relative of Leo Tolstoy translated War and Peace eight times ?,HUM
Who was the second person ever to wear Iron Man's armor ?,HUM
Who is the director and editor of the movie Big starring Tom Hanks ?,HUM
Who won two gold medals in skiing in the Olympic Games in Calgary ?,HUM
What are the four railways in Monopoly ?,HUM
Who are the top ten richest people in the world ?,HUM
Who is the leader of Brunei ?,HUM
Who were the head writers for the Smothers Brothers Comedy Hour ?,HUM
Who portrayed Prewett in From Here to Eternity ?,HUM
What Scottish poet penned To a Mouse and To a Louse ?,HUM
What is the name of the inventor of silly putty ?,HUM
What famous communist leader died in Mexico City ?,HUM
Who was the first woman to run the mile in less than 4 36893 minutes ?,HUM
Who awarded The Flying Fickle Finger of Fate ?,HUM
What are the top boy names in the U.S. ?,HUM
Who was the lyricist and who was the composer between Gilbert and Sullivan ?,HUM
Who was the lawyer for Randy Craft ?,HUM
Who was the 3rd president of the United States ?,HUM
Name Dick Tracy's two children .,HUM
What was the previous name for the Commonwealth ?,HUM
Who gave King Arthur the round table ?,HUM
Who became president of the U.S. in 1789 ?,HUM
Who wrote '' The Scarlet Letter '' ?,HUM
Who did Sara Jane Moore try to assassinate ?,HUM
What title did Shevardnadze have during the Soviet era ?,HUM
Which king signed the Magna Carta ?,HUM
Name the child left on a doorstep at the beginning of Gasoline Alley .,HUM
Which college did Dikembe Mutombo play basketball for ?,HUM
What was Darth Vader's son named ?,HUM
What British female pop singing star of the 1960s and early 1970s was a child actress in the 1940s and '50s ?,HUM
Who portrayed Field Marshal Erwin Rommel in The Desert Fox ?,HUM
Who makes the '' cross-your-heart bra '' ?,HUM
Who is Archie Bunker's son-in-law ?,HUM
What company produces Spumante ?,HUM
What major airline has the best safety record in the world ?,HUM
What President became Chief Justice after his presidency ?,HUM
Who was chief engineer of the Starship Enterprise ?,HUM
What mayor made so many TV appearances he was asked to join AFTRA in 1984 ?,HUM
Who is the most sexy celebrity ?,HUM
What detective lives on Punchbowl Hill and has 11 children ?,HUM
Rotary engines used to be made by whom ?,HUM
Who portrayed the title character in the film The Day of the Jackal ?,HUM
Who was the first X-Man to die in battle ?,HUM
Who is the President of Ghana ?,HUM
What terrorist group was headed by Donald DeFreeze ?,HUM
Who starred in the movie The War of the Worlds ?,HUM
What does Larry King do for a living ?,HUM
Who shot Lee Harvey Oswald ?,HUM
Who portrayed Renaud in Casablanca ?,HUM
What rock group raised a ruckus at the White House by singing American Woman ?,HUM
What famed clown appeared on an early Howdy Doody Show and insisted that Clarabell be made up as a real clown ?,HUM
Who was Confucius ?,HUM
Who is currently the most popular singer in the world ?,HUM
Who invented basketball ?,HUM
What was the name of Humphrey Bogart's club in Casablanca ?,HUM
What U.S. Government agency registers trademarks ?,HUM
What hockey player did Ronald Reagan joke he would swap Texas for ?,HUM
What are the five most popular Usenet groups ?,HUM
Who domesticated the wild turkey ?,HUM
What was the name of the US helicopter pilot shot down over North Korea ?,HUM
Who is Olive Oyl's brother ?,HUM
What king boycotted Prince Charles's wedding ?,HUM
What does Nicholas Cage do for a living ?,HUM
What was the nickname of model Leslie Hornby ?,HUM
What woman was Time's Man of the Year for 1952 ?,HUM
Who wrote The Ugly Duckling ?,HUM
Who designed London Bridge ?,HUM
Who was considered to be the father of psychology ?,HUM
Who succeeded Nikita Khrushchev as first secretary of the Communist Party ?,HUM
Who was chosen to be the first black chairman of the military Joint Chiefs of Staff ?,HUM
Name of the lady the Great Gatsby pines for ?,HUM
Who said '' What contemptible scoundrel stole the cork from my lunch ? '',HUM
What kind of company is 7-Eleven ?,HUM
What are the major companies that are part of Dow Jones ?,HUM
What college did Joe Namath play football for ?,HUM
Who was the 1st U.S. President ?,HUM
Who played Maria in the film West Side Story ?,HUM
Who bestowed great power upon Captain Britain ?,HUM
What is the most common boy's or girl's name ?,HUM
Who did the Seven Mules block for ?,HUM
What is the world's largest distilling company ?,HUM
Who did Napolean defeat at Jena and Auerstadt ?,HUM
What British prime minister and U.S. president were seventh cousins once-removed ?,HUM
What was the name of the Titanic's captain ?,HUM
Name of heroine in '' Scruples '' ?,HUM
Who wrote The Godfather ?,HUM
Which of the following TV newsmen was a Rhodes scholar ?,HUM
What six-foot temperance advocate wielded her hatchet on saloons ?,HUM
Who invented volleyball ?,HUM
Name a ballet company Mikhail Baryshnikov has danced for ?,HUM
Who led the Normans to victory in the Battle of Hastings ?,HUM
Who invented the horoscope ?,HUM
What king was forced to agree to the Magna Carta ?,HUM
What were Babe Ruth's Christian names ?,HUM
What is Alice Cooper's real name ?,HUM
Who invented television ?,HUM
Name the person who burst through the screen in the Lite beer commercials .,HUM
What U.S. vice-president killed Alexander Hamilton in a duel ?,HUM
Who wrote '' Much Ado About Nothing '' ?,HUM
What Louisiana Senator won a seat that had been held by his father and mother ?,HUM
Who won Oscars for her roles in Gone with the Wind and A Streetcar Named Desire ?,HUM
What writer is famous for physically putting himself into the center of his subject matter ?,HUM
Who's the lead singer of the Led Zeppelin band ?,HUM
Who plays the cop in the movie '' Kindergarten Cop '' ?,HUM
Who is the richest woman in the world ?,HUM
Who were the 1974 Oscar winners ?,HUM
What kind of business is 7-Eleven ?,HUM
Who would you use the Heimlich maneuver on ?,HUM
Name the U.S. Senate majority leader and the Speaker of the House .,HUM
What name did football's New York Titans adopt in 1963 ?,HUM
What female suspect in the game of Clue is single ?,HUM
Who owns CNN ?,HUM
What attorney-general ordered the closing of Alcatraz ?,HUM
Who was the prophet of the Jewish people ?,HUM
What is the most common name ?,HUM
Who was the oldest U.S. president ?,HUM
What diamond producer controls about 80% of the world's diamonds ?,HUM
Who is the prophet of the religion of Islam ?,HUM
Who portrayed Maggio in the film From Here to Eternity ?,HUM
Name the cartoon genie conjured by the magic ring shared by Nancy and Chuck .,HUM
Who was Picasso ?,HUM
Who were the only two bald U.S. Presidents ?,HUM
Which member of Charlie's Angels sang vocals for Josie and the Pussycats ?,HUM
What comedian was The Perfect Fool ?,HUM
Who loved Flash Gordon besides Dale ?,HUM
Who's the only president buried in Washington,HUM
Whose singing voice was dubbed in for Natalie Wood in West Side Story and Audrey Hepburn in My Fair Lady ?,HUM
President Bush compared Saddam Hussein to whom ?,HUM
What's the name of Pittsburgh's baseball team ?,HUM
Who created the character James Bond ?,HUM
What British general surrendered to the colonial army at Saratoga ?,HUM
What artist's studio was the Bateau-Lavoir in Montmartre ?,HUM
What company is the largest Japanese ship builder ?,HUM
Who wrote The Collector ?,HUM
Which major diamond producer is based in South Africa ?,HUM
Who was Samuel Johnsons's friend and biographer ?,HUM
What kind of women gave Sigmund Freud erotic dreams ?,HUM
Who played the father on '' Charles in Charge '' ?,HUM
What is Steve Rogers's profession when he's not Captain America ?,HUM
Who are the top 10 richest people in the world ?,HUM
What ethnic group introduced the idea of potlatch ?,HUM
What actor was the first man to appear on the cover of McCall's ?,HUM
What Cruise Line does Kathie Lee Gifford advertise for ?,HUM
Name the Four Horsemen of the Apocalypse .,HUM
What female faith healer wrote the inspirational book I Believe in Miracles ?,HUM
Who was Jinnah ?,HUM
What famous husband-and-wife team did radio ads for Blue Nun wine ?,HUM
Who tramped through Florida looking for the Fountain of Youth ?,HUM
What was the name of the Confederate mounted guerrilla group with which Jesse James and Coleman Younger had ridden ?,HUM
Who followed up his first two underwater thrillers with The Girl of the Sea of Cortez ?,HUM
Who is the one Independent Member of Congress ?,HUM
What is a society ruled by elders ?,HUM
What two presidents of the U.S. published books of poetry ?,HUM
Which of the Seven Dwarfs comes first alphabetically ?,HUM
What professional cricketer's son wrote The War of the Worlds in 1898 ?,HUM
What was Fred Astaire's dancing partner's name ?,HUM
What heavyweight boxer was known as The Wild Bull of the Pampas ?,HUM
What TV talk-show host lends his name to a line of men's clothing ?,HUM
Who invented the electric guitar ?,HUM
Who is the President of Pergament ?,HUM
What American naval officer broke Japan's isolationist policy in 1853 ?,HUM
Which police department made the all-time biggest cocaine bust in Ventura County ?,HUM
Who gave us the '' Rolling Writer '' ?,HUM
Who wrote The Secret Life of Walter Mitty ?,HUM
Who is the head of the World Bank ?,HUM
What is the most popular last name ?,HUM
Who moderated the first Kennedy-Nixon TV debate ?,HUM
Who portrayed George M. Cohan in 1942's Yankee Doodle Dandy ?,HUM
Who's the only U.S. president to have won a Pulitzer Prize ?,HUM
Who was Maria Theresa ?,HUM
What is Larry King's occupation ?,HUM
Who invented '' The Muppets '' ?,HUM
Who are cartoondom's Super Six ?,HUM
What fool is not so wise To lose an oath to win a paradise ?,HUM
What monarch signed the Magna Carta ?,HUM
What corporation does Madonna advertise for ?,HUM
What store does Martha Stewart advertise for ?,HUM
Which police department made the largest cocaine seizure ever in Ventura County ?,HUM
What Pope inaugurated Vatican International Radio ?,HUM
What company's trademark was His Master's Voice ?,HUM
What Pope inaugurated Vatican International Radio ?,HUM
What director made one silent and one sound version of The Ten Commandments ?,HUM
Which presidents of the USA were Masons ?,HUM
Who was the tallest U.S. president ?,HUM
What character in The Beverly Hillbillies has the given names Daisy Moses ?,HUM
What comedienne calls her sister-in-law Captain Bligh and her mother-in-law Moby Dick ?,HUM
What president also became a supreme court justice ?,HUM
Who was actress June Havoc's legendary sister ?,HUM
Who killed JFK ?,HUM
Who was the star witness at the Senate Watergate hearings ?,HUM
Who is the son-in-law of Sen. Everett Dirkson who was also a senator in the '70's ?,HUM
Who made the rotary engine automobile ?,HUM
What were the last names of gangsters Bonnie and Clyde ?,HUM
Who invented panties ?,HUM
What is Pittsburgh's baseball team called ?,HUM
What President had never held an elected office until he was elected to the White House ?,HUM
Who is the richest person in the world ?,HUM
What international organization was founded by Clara Barton ?,HUM
What corporation does Madonna advertise for ?,HUM
Who is buried in the great pyramid of Giza ?,HUM
What famous actress made her first appearance on stage at the age of five in the year 191 as '' Baby '' ?,HUM
What are the three most successful companies of our time ?,HUM
What is the name of the company that manufactures the '' American Girl '' doll collection ?,HUM
What is Michael Jackson's father's name ?,HUM
Who was the girl in Peter Sellers's soup ?,HUM
What creative genius said : '' Everything comes to him who hustles while he waits '' ?,HUM
Who was Ben Casey's boss ?,HUM
What multitalented Academy-award-winning director failed a college course in motion-picture production ?,HUM
What wild and crazy guy wrote a book called Cruel Shoes ?,HUM
What police force did Mack Sennett create ?,HUM
What is Dr. Ruth's last name ?,HUM
What's the middle name of movie producer Joseph E. Levine ?,HUM
Who told all in Ball Four ?,HUM
Who followed Willy Brandt as chancellor of the Federal Republic of Germany ?,HUM
What name does the world know Renaissance artist Kyriakos Theotokopoulos by ?,HUM
Who is the president of Bolivia ?,HUM
Who played the title role in The Romantic Englishwoman ?,HUM
What President once told Gene Autry : '' Please give my regards to your wife Dale '' ?,HUM
Who made the deodorant that claimed that it '' actually builds up resistance to odor '' ?,HUM
Who used AuH2O as an election slogan ?,HUM
What painter popularized soup cans and Brillo soap pad boxes ?,HUM
Who played Lucas McCain on The Rifleman ?,HUM
Who was the only person convicted in the My Lai Massacre ?,HUM
Rotary engine cars were made by what company ?,HUM
Who was the lawyer who represented Randy Steven Craft ?,HUM
What part did Benjamin Franklin play in the development of the newspaper in America ?,HUM
Who is the prime minister of Australia ?,HUM
What major league baseball team compiled the best won-lost record between 1957 and 1983 ?,HUM
What was the name of Randy Steven Craft's lawyer ?,HUM
Who won the first general election for President held in Malawi in May 1994 ?,HUM
What famous comic strip character died of acne ?,HUM
Who is Zebulon Pike ?,HUM
What has been the most common Christian name of U.S. presidents ?,HUM
What English explorer discovered and named Virginia ?,HUM
What people make up half the Soviet Union's population ?,HUM
Who used to make cars with rotary engines ?,HUM
Who was Buffalo Bill ?,HUM
What sprawling U.S. state boasts the most airports ?,LOC
What is the highest waterfall in the United States ?,LOC
Which two states enclose Chesapeake Bay ?,LOC
Where do the adventures of '' The Swiss Family Robinson '' take place ?,LOC
What country do the Galapagos Islands belong to ?,LOC
What U.S. state lived under six flags ?,LOC
Where is the Loop ?,LOC
What country's capital is Tirana ?,LOC
Which city has the oldest relationship as a sisterÌÄåøÌâåÀÌâå_city with Los Angeles ?,LOC
What are the names of the tourist attractions in Reims ?,LOC
What body of water does the Danube River flow into ?,LOC
What is the nickname for the state of Mississippi ?,LOC
What country did King Wenceslas rule ?,LOC
What country's national passenger rail system is called Via ?,LOC
What U.S. state is Fort Knox in ?,LOC
Where is the highest point in Japan ?,LOC
Where does Barney Rubble go to work after he drops Fred off in the '' Flintstones '' cartoon series ?,LOC
What are the world's four oceans ?,LOC
Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?,LOC
Where can I find a list of '' classic '' books 5th and 6th graders should read ?,LOC
Where is the Orinoco ?,LOC
What two South American countries do n't border Brazil ?,LOC
Where is the Rose Bowl played ?,LOC
Where are the 49 steps ?,LOC
